English,Lisu, When/Why
"(subject) is (adjective)","(subject) ꓠꓬ (adjective) ꓥ ꓡꓳ"
"(subject) said (quote)","(subject) ꓡꓰ (quote) ꓐꓯˍ ꓡꓳ"
"(subject) saw that (object) was (adjective)","(object) ꓠꓬ (adjective) ꓟ ꓥ ꓡꓳ꓾ ꓐꓰ (subject) ꓟꓳꓻ ꓗꓷˍ ꓡꓳ"
".","꓿"
"?","?"
"is","ꓠꓬ", "verb"
"are","ꓠꓬ", "verb"
"was","ꓠꓬ", "verb"
"were","ꓠꓬ", "verb"
"am","ꓠꓬ", "verb"
"a (person)","(person) ꓕꓲꓽ ꓣꓳꓽ", "useage: she is a good person"
"a (objects)","(object) ꓕꓲꓽ ꓟ"
"a (animal)","(animal) ꓕꓲꓽ ꓘ."
"a (fruit)","(fruit) ꓕꓲꓽ ꓢꓶ", "uses for round objects, eggs and fruits"
"a (flower)","(flower) ꓕꓲꓽ ꓪꓰ", "uses for flower"
"a (leaf / paper / paper money / rug)", "(leaf / paper / paper money / rug) ꓕꓲꓽ ꓒꓬꓺ", "useage: leaf, paper, paper money and rug (thin flat objects)"
"a (object)","ꓕꓲꓽ ꓟ (an indefinite article)"
"a (person)","ꓕꓲꓽ ꓣꓳ (an indefinite article)"
"a (subject)","ꓕꓲꓽ ꓫꓵ (an indefinite article)"
"bless (person)","(person) ꓔꓯ. ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"fourth (objects)","ꓡꓲ. ꓟ ꓗꓪ ꓟ ꓕꓲ ꓟ (for objects)"
"and (subject) said","ꓐꓰ (subject) ꓡꓰ ꓐꓯˍ ꓡꓳ"
"and (noun)","ꓐꓰ (noun)", "useage: him and me, you and i, apple and pen"
"did you (action)","ꓠꓴ (action) ꓗꓷꓳ ꓪ?"
"go(action verb)","ꓙꓰ(action verb)"
"god (verb)(noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"god bless you", "ꓠꓴ ꓔꓯ. ꓪꓴ‐ꓢ ꓡꓰ ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"god created (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"god created the (noun) and the (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓐꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"god said let there be (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ꓿"
"god the (verb)(noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"he (verb)(noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"he created (noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"he made (food)","ꓬꓲ. (food) ꓫ ꓔ ꓡꓳ꓿"
"he the (verb)(noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"good (objects, subjects, foods)", "ꓙꓲˍ ꓟ (objects, subjects, foods)", "useage: good feeling, good person and good car"
"he made (object)","ꓬꓲ. (object) ꓔꓯ. ꓫ ꓔ ꓡꓳ꓿"
"he created the (noun) and the (noun)","ꓬꓲ ꓡꓰ (noun) ꓐꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"God called the (noun)“(noun),”","ꓪꓴ-ꓢ ꓡꓰ ꓠꓬꓲ (noun)ꓔꓯ ꓠꓬ (noun) ꓐꓰ ꓟꓬꓱꓺ ꓖꓶ ꓢꓲ꓾"
"in the beginning (subject) (verb) (object)","ꓬꓲ ꓚꓰ ꓬꓲ ꓪꓴ (subject) ꓡꓰ (object) ꓔꓯ (verb)ˍ ꓡꓳ"
"let (pronoun) be","(pronoun) ꓔꓯ ꓖꓳ ꓡꓰ ꓙꓳ ꓝꓲ"
"nothing","ꓮ ꓫꓵꓽ ꓟꓲ ꓟꓽ ꓙꓳ (pronoun)", "usage: Nothing as an indefinite pronoun"
"said (final verb + sentence end)","ꓐꓯˍ ꓡꓳ꓿"
"stopped (action)","(action) ꓠ: ꓗꓷꓳ"
"the (objects, foods, subject)","(objects, foods, subject) ꓕꓱ ꓟ ꓠꓬ", "usage: the person, the guy, the food and the feeling"
"very (adjective)","ꓮ ꓘꓶ (adjective)"
"they may rule over (subject)","(subject) ꓕꓯ ꓢꓲ ꓗꓪ ꓬꓲ ꓪ ꓔꓯ ꓙꓵ: ꓪ ꓙꓳ ꓝꓲ"
"to (verb)","(verb) ꓠ, ꓟ"
"today is the (day)","ꓠꓬꓲꓸ ꓠꓬꓲ ꓠꓬ (day) ꓥ ꓡꓳ"
"what is (object)","(object) ꓠꓬ ꓮ ꓡꓰ ꓪ?"
"you are (an indefinite article)(noun).","ꓠꓴ ꓠꓬ (noun) (an indefinite article) ꓥ ꓡꓳ꓿"
