English,Lisu, When/Why
"Then God blessed the seventh day and made it holy.","ꓖꓳ ꓡꓱ ꓠꓬ ꓪꓴ-ꓢ ꓡꓰ ꓫꓵ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ ꓔꓯ ꓶ; ꓥꓳ ꓙꓱ ꓖꓶ ꓢꓲ꓾ ꓦꓬ; ꓠꓬꓲ ꓖꓳ ꓕꓲ ꓠꓬꓲ ꓔꓯ ꓢꓲ ꓫꓬ ꓡꓰ ꓝꓲˍ ꓡꓳ="
"Thus the heavens and the earth were completed in all their vast array","ꓖꓳ ꓡꓱ ꓠꓬ ꓟꓴ ꓗꓪˍ ꓐꓰ ꓟꓲ ꓠꓯˍ ꓐꓰ ꓖꓳ ꓗꓪ ꓙꓳˍ ꓟ ꓥ ꓕ ꓑꓳ ꓮ ꓙꓵ ꓚꓰ; ꓓꓳ ꓡꓰꓳ="
"a (object)","ꓕꓲꓽ ꓟ (an indefinite article)"
"a (person)","ꓕꓲꓽ ꓣꓳ (an indefinite article)"
"a (subject)","ꓕꓲꓽ ꓫꓵ (an indefinite article)"
"a firmament in the midst","ꓟꓵ: ꓪꓴ"
"above the earth","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ"
"all","ꓮ ꓙꓵ"
"(noun / pronoun /person) said","(noun / pronoun / person) ꓡꓰ ꓐꓯˍ ꓡꓳ"
"let dry ground appear, And it was so.","ꓟꓲ ꓩꓴ ꓓꓳ ꓡ ꓗꓷ ꓢꓲ ꓠꓬꓲ꓾ ꓬꓲ ꓖꓳ ꓡꓱ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"and the Spirit of God was hovering over the waters.","ꓪꓴ-ꓢ ꓦꓻ ꓠꓬ ꓬꓲ ꓙꓬ ꓕꓯ ꓢꓲ ꓗꓪ ꓮ' ꓔꓬˍ ꓡꓳ="
"and the fruit tree yielding fruit after his kind, whose seed is in itself,","ꓬꓲ ꓫꓵ. ꓕꓱ, ꓞˍ ꓟ ꓢꓶ, ꓢꓶ ꓓꓱ;ˍ ꓟ ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ ꓙꓰ: ꓫꓵ ꓙꓰ ꓛꓳ ꓢꓲ꓾"
"and the gathered waters he called “seas.”","ꓕꓲ ꓪꓺ; ꓐꓰ ꓜꓲ; ꓞˍ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓠꓬ ꓬꓲ ꓡꓰ꓾ ꓬꓲꓻ ꓡꓴ ꓐꓱ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ="
"and the waters which were under the firmament from the waters which were above the firmament","ꓟꓵ ꓪꓴ ꓠꓯ. ꓘꓪ ꓟ ꓬꓲ ꓙꓬˍ ꓐꓰ"
"appear","ꓓꓳ ꓡ"
"beast","ꓙꓱꓽ ꓒ ꓓꓽ ꓟ"
"bird","ꓠꓬ, ꓤ"
"bird flying above the sky","ꓟꓴ ꓗꓪ ꓗꓪ ꓠꓬ, ꓤ ꓐꓬꓱꓻ ꓔꓬ ꓡꓳ"
"birds","ꓠꓬ, ꓤ ꓙꓱꓻ ꓤ"
"bless (person)","(person) ꓔꓯ. ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"bless you","ꓠꓴ ꓔꓯ. ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"bless","ꓶ; ꓥꓳ ꓙꓱ"
"blessed","ꓶ; ꓥꓳ ꓙꓱ ꓗꓷꓳ"
"bright","ꓠꓬꓲ ꓟꓳ ꓓꓴ" 
"called","ꓘꓴ ꓗꓷ" "I called his phone"
"called","ꓟꓬꓱꓺ ꓖꓶ" "He is called John"
"called, named","ꓟꓬꓱꓺ ꓖꓶ"
"cloud","ꓟꓵ: ꓪꓴ"
"completed doing","ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"completed eating","ꓜ ꓓꓳ ꓡꓰꓳ"
"completed","ꓐꓲꓺ ꓜꓲꓼ ꓡꓰꓳ (fulfillment)"
"create","ꓚꓰ;ˍ"
"created","ꓚꓰ;ˍ"
"creatures","ꓢꓯ; ꓟꓬ ꓙꓳˍ ꓡꓳ ꓫꓵ:"
"darkness was over the surface of the deep","ꓠꓯ ꓞꓲ, ꓟ ꓠꓬ ꓠꓯ.ˍ ꓟ ꓬꓲ ꓙꓬ ꓕꓯ ꓢꓲ ꓗꓪ ꓓˍ ꓡꓳ="
"darkness","ꓠꓯ ꓞꓲ, ꓟ"
"day","ꓟꓳ; ꓡꓳ"
"day","ꓠꓬꓲ"
"day","ꓦꓬ ꓠꓬꓲ"
"days","ꓦꓬ ꓠꓬꓲ"
"deep","ꓠꓯ.ˍ ꓟ"
"did you (action)","ꓠꓴ (action) ꓗꓷꓳ ꓪ?"
"divide","ꓐꓱꓻ ꓗꓷ ꓝꓲ"
"dry ground","ꓟꓲ ꓩꓴ"
"earth","ꓟꓲ ꓠꓯ"
"eat","ꓜꓽ"
"empty","ꓬꓲ ꓖꓳ:"
"evening","ꓟꓰꓻ ꓝꓲ"
"evening","ꓠꓯ; ꓝꓲ"
"every living creature that moves on the ground","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ ꓡꓵ ꓔꓬˍ ꓟ ꓢꓯ. ꓔꓬˍ ꓡꓳ ꓫꓵ ꓥ ꓕ ꓑꓳ"
"every","ꓥ ꓕ ꓑꓳ"
"female","ꓤ ꓟꓶ ꓤ"
"fifth day","ꓥꓪ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"fifth","ꓥꓪ: ꓟ ꓕꓲ ꓟ"
"fill the earth and subdue it","ꓟꓲ ꓠꓯ ꓗꓪ ꓐꓲꓺ ꓡꓰ ꓝꓲ ꓢꓲ꓾ ꓟꓲ ꓠꓯ ꓕꓱ ꓟ ꓔꓯ ꓙꓵ: ꓝꓲ"
"fill the earth","ꓟꓲ ꓠꓯ ꓗꓪ ꓐꓲꓺ ꓡꓰ ꓝꓲ"
"finished the work","ꓟꓬꓱ: ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"finished working","ꓟꓬꓱ: ꓬꓰ ꓓꓳ ꓡꓰꓳ"

"working","ꓟꓬꓱ: ꓬꓰ"
"finished","ꓬꓰ ꓓꓳ ꓡꓰꓳ"
"fly","ꓐꓬꓱꓻ"
"flying","ꓐꓬꓱꓻ ꓔꓬ"
"food","ꓜ: ꓓꓴ"
"formless","ꓬꓲ ꓑꓰ, ꓟ: ꓙꓳ ꓟ ꓬꓲ ꓖꓳ: ꓥ"
"fourth (objects)","ꓡꓲ. ꓟ ꓗꓪ ꓟ ꓕꓲ ꓟ (for objects)"
"fourth day","ꓡꓲ. ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"fourth person","ꓡꓲ. ꓣꓳ ꓗꓪ ꓟ ꓕꓲ ꓣꓳ"
"fruit","ꓢꓶ, ꓢꓶ"
"gather","ꓜꓲ;"
"gathered to one place","ꓕꓲ ꓪꓺ; ꓜꓲ; ꓡꓰ"
"gathered","ꓜꓲ; ꓡꓰ"
"go(action verb)","ꓙꓰ(action verb)"
"god (verb)(noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"god bless you", "ꓠꓴ ꓔꓯ. ꓪꓴ‐ꓢ ꓡꓰ ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"god created (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"god created the (noun) and the (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓐꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"god created the water and the sky","ꓪꓴ-ꓢ ꓡꓰ ꓬꓲ ꓙꓬ ꓐꓰ ꓟꓴ ꓗꓪ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ"
"god said let there be (noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓙꓳꓻ ꓡ ꓝꓲ꓾ ꓐꓯˍ ꓡꓳ꓿"
"god the (verb)(noun)","ꓪꓴ-ꓢ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"good","ꓙꓲˍ ꓡꓳ","usage: he is good"
"good person","ꓙꓲˍ ꓟ ꓞꓳ ꓑ ꓤ", "usage: he is good person"
"good person","ꓙꓲˍ ꓟ ꓤ ꓟꓶ ꓤ", "usage: she is good person"
"good people","ꓙꓲˍ ꓟ ꓞꓳ ꓤ ꓐꓴ", "usage: they are good people"
"grass","ꓟꓳ; ꓤ"
"have","ꓙꓳˍ"
"i have to (verb)","ꓥꓪ ꓠꓬ (verb) ꓠ ꓗ ꓡꓳ"
"i have (object)", "ꓥꓪ ꓠꓬ (object) ꓙꓳˍ ꓡꓳ꓿"
"i have money", "ꓥꓪ ꓠꓬ ꓒꓴꓺ ꓙꓳˍ ꓡꓳ꓿"
"i will have the money", "ꓥꓪ ꓔꓯ ꓒꓴꓺ ꓙꓳˍ ꓡ ꓥꓳ꓿"
"i saw (noun)", "(noun) ꓔꓯ ꓥꓪ ꓟꓳꓻ ꓗꓷˍ ꓡꓳ꓿"
"(pronoun / noun) will not have money", "(pronoun / noun) ꓠꓬ ꓒꓴꓺ ꓟꓽ ꓙꓳˍ ꓡ"
"you will have food", "ꓠꓴ ꓔꓯ ꓜꓺ ꓓꓴ ꓙꓳˍ ꓡ ꓥꓳ꓿"
"if you eat it, you will certainly die","ꓠꓴ ꓖꓳ ꓟ ꓔꓯ ꓜ:ˍ ꓠꓬ ꓠꓴ ꓚꓵ ꓚꓵ ꓫꓵꓻˍ ꓥꓳ"
"if you sleep, you will not have money","ꓠꓴ ꓬꓲ; ꓟꓶ ꓗꓷ ꓐꓭ ꓠꓬ꓾ ꓠꓴ ꓠꓬ ꓒꓴꓺ ꓟꓽ ꓙꓳˍ ꓡ"
"he saw the water on the tree","ꓢꓲ ꓜꓲ ꓕꓯ ꓢꓲ ꓗꓪ ꓙꓳˍ ꓟ ꓬꓲ ꓙꓬ ꓔꓯ ꓬꓲ ꓟꓳ ꓗꓷˍ ꓡꓳ꓿"
"he (verb)(noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"he called","ꓬꓲ ꓡꓰ꓾ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ"
"he created (noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"he created male and female","ꓬꓲ ꓡꓰ ꓞꓳ ꓑ ꓤˍ ꓐꓰ ꓤ ꓟꓶ ꓤ ꓔꓯ ꓚꓰ;ˍ ꓡꓳ="
"he created the (noun) and the (noun)","ꓬꓲ ꓡꓰ (noun) ꓐꓰ (noun) ꓔꓯ ꓚꓰꓼˍ ꓡꓳ"
"he had been doing","ꓬꓲ ꓬꓰˍ ꓟ"
"he is resting","ꓬꓲ ꓠ: ꓔꓬˍ ꓡꓳ"
"he made (food)","ꓬꓲ. (food) ꓫ ꓜ ꓡꓳ꓿"
"he made (the chair)","ꓬꓲ. (the chair) ꓔꓯ. ꓫ ꓔ ꓡꓳ꓿"
"he made the stars also","ꓗꓴ ꓤˍ ꓟꓲ ꓬꓲ. ꓚꓰ;ˍ ꓡꓳ="
"he rested","ꓬꓲ ꓠ: ꓔꓬˍ ꓡꓳ"
"resting","ꓠ: ꓔꓬˍ"
"he the (verb)(noun)","ꓬꓲ ꓡꓰ (noun) ꓔꓯ (verb)ˍ ꓡꓳ"
"he","ꓬꓲ."
"heavens","ꓟꓴ ꓗꓪ"
"her","ꓬꓲ."
"herb","ꓪꓳ: ꓫꓵ ꓪꓳ ꓙꓰ:"
"him","ꓬꓲ."
"his kind","ꓙꓰ: ꓫꓵ ꓙꓰ ꓛꓳ"
"his own image","ꓬꓲ ꓚꓲ ꓛꓬ ꓐꓬꓱ:"
"holy","ꓢꓲ‐ꓫꓬ"
"hovering over the water","ꓬꓲ ꓙꓬ ꓕꓯ ꓢꓲ ꓗꓪ"
"how are you?","ꓠꓴ ꓧꓪ. ꓧꓪ ꓥ ꓡ?"
"how many","ꓮꓽ ꓟꓬ"
"how","ꓮ ꓡꓰ"
"image","ꓐꓬꓱ:"
"in","ꓠꓯꓸꓼ ꓗꓪ"
"in all their vast array","ꓖꓳ ꓗꓪ ꓙꓳˍ ꓟ ꓥ ꓕ ꓑꓳ ꓮ ꓙꓵ"
"in the beginning (subject) (verb) (object)","ꓬꓲ ꓚꓰ ꓬꓲ ꓪꓴ (subject) ꓡꓰ (object) ꓔꓯ (verb)ˍ ꓡꓳ"
"increase in number","ꓮ ꓟꓬ, ꓟꓬ: ꓡ"
"increase","ꓟꓬ: ꓡ"
"insects","ꓐꓶ: ꓓꓲ"
"is","ꓠꓬ"
"it was good","ꓖꓳ ꓟ ꓠꓬ ꓙꓲˍ ꓡꓳ"
"land","ꓟꓲ ꓠꓯ"
"let (pronoun) be","(pronoun) ꓔꓯ ꓖꓳ ꓡꓰ ꓙꓳ ꓝꓲ"
"let birds fly above the earth across the vault of the sky.","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓟꓴ ꓗꓪ ꓗꓪ ꓟ ꓟꓵ: ꓪꓴ ꓗꓪ ꓠꓬ꓾ ꓠꓬ, ꓤ ꓙꓱꓻ ꓤ ꓐꓬꓱꓻ ꓔꓬ ꓝꓲ"
"let them be for signs","ꓖꓳ ꓟ ꓠꓬ ꓢꓷ ꓡꓰ ꓓꓴ ꓬꓰ ꓠ, ꓟ"
"let there be (object)","(object) ꓙꓳꓻ ꓡ ꓝꓲ"
"let's go","ꓙꓰ ꓡꓯ꓿"
"life","ꓢꓯ; ꓟꓬ"
"light","ꓠꓬꓲ ꓟꓳ ꓓꓴ"
"living creatures","ꓢꓯ; ꓟꓬ ꓙꓳˍ ꓡꓳ ꓫꓵ:"
"made the day holy","ꓦꓬ; ꓠꓬꓲ ꓖꓳ ꓕꓲ ꓠꓬꓲ ꓔꓯ ꓢꓲ ꓫꓬ ꓡꓰ ꓝꓲˍ ꓡꓳ="
"make","ꓬꓰˍ"
"male","ꓞꓳ ꓑ ꓤ"
"mankind","ꓞꓳ ꓤ"
"may god bless you", "ꓠꓴ ꓔꓯ. ꓪꓴ‐ꓢ ꓡꓰ ꓶ; ꓥꓳ ꓙꓱ ꓖꓶˍ ꓝꓲ꓿"
"midst","ꓟꓵ: ꓪꓴ"
"morning evening","ꓟꓰꓻ ꓝꓲ ꓠꓯ; ꓝꓲ"
"morning","ꓟꓰꓻ ꓝꓲ"
"money","ꓒꓴꓺ"
"my image","ꓥꓪ ꓐꓬꓱ:"
"night","ꓢ ꓘꓪ"
"nothing","ꓮ ꓫꓵꓽ ꓟꓲ ꓟꓽ ꓙꓳ (pronoun)", "usage:Nothing as an indefinite pronoun"
"ocean","ꓬꓲꓻ ꓡꓴ ꓐꓱ ꓓꓽ ꓟ"
"oh!","ꓐꓲ!"
"on the earth","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ"
"on the ground","ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ"
"on the seventh day he rested from all his work.","ꓫꓵ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ ꓗꓪ ꓪꓴ-ꓢ ꓬꓰˍ ꓟ ꓟꓬꓱ: ꓮ ꓙꓵ ꓟ ꓔꓯ ꓠ: ꓗꓷ ꓢꓲ꓾ ꓠ: ꓔꓬˍ ꓡꓳ="
"on you","ꓠꓴ ꓕꓯ ꓢꓲ"
"on","ꓕꓯ ꓢꓲ ꓗꓪ"
"one day","ꓕꓲ ꓠꓬꓲ", "useage: when counting days"
"one day","ꓕꓲ ꓠꓬꓲ ꓙꓳˍ ꓠꓬ","usage: one day you will meet her"
"you will see them on the street", "ꓠꓴ ꓬꓲ ꓪ ꓔꓯ ꓙ ꓖꓴ ꓕꓯꓽ ꓢꓲ ꓗꓪ ꓟꓳꓻ ꓗꓷˍ ꓥꓳ"
"one place","ꓕꓲ ꓪꓺ;"
"our image","ꓣꓳ ꓐꓬꓱ:ˍ ꓐꓰ ꓣꓳ ꓒꓬꓱ:"
"our","ꓣꓳ"
"over","ꓕꓯ ꓢꓲ"
"own","ꓚꓲ ꓛꓬ"
"perfect","ꓐꓲꓺ ꓜꓲꓼ"
"plant","ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ"
"quickly (verb)","ꓡꓪꓽ (verb)"
"quickly","ꓡꓪꓽ"
"rice","ꓜꓺ"
"rule over","ꓙꓵꓽ ꓪꓽ ꓣꓱꓽ"
"said (final verb + sentence end)","ꓐꓯˍ ꓡꓳ꓿"
"said","ꓐꓯˍ ꓡꓳ꓿"
"saw","ꓟꓳꓻ ꓗꓷˍ ꓡꓳ꓿"
"saw","ꓡꓳ. ꓟꓳˍ"
"say","ꓐꓯˍ"
"sea","ꓬꓲꓻ ꓡꓴ ꓐꓱ"
"seasons","ꓬꓲ ꓝꓲ."
"second day","ꓠꓬꓲ: ꓠꓬꓲ"
"second","ꓠꓬꓲ:"
"seed","ꓬꓲ ꓫꓵ."
"separated the light from the darkness","ꓠꓬꓲ ꓟꓳ ꓓꓴˍ ꓐꓰ ꓠꓯ ꓞꓲ, ꓟ ꓔꓯ ꓐꓱꓻ ꓗꓷˍ ꓡꓳ"
"separated","ꓐꓱꓻ ꓗꓷˍ ꓡꓳ"
"seventh day","ꓫꓵ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"she","ꓬꓲ."
"signs","ꓢꓷ ꓡꓰ ꓓꓴ"
"sit and eat","ꓠꓬꓲ ꓠꓸ ꓢꓲ ꓜꓽ"
"sit","ꓠꓬꓲ ꓠꓸ"
"sixth day","ꓛꓳ; ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"sky","ꓟꓴ ꓗꓪ"
"slowly (verb)","ꓞ ꓞ ꓡꓰ (verb)"
"slowly","ꓞ ꓞ ꓡꓰ"
"stop","ꓠ: ꓗꓷ"
"stopped (action),"(action) ꓠ: ꓗꓷꓳ"
"stopped","ꓠ: ꓗꓷꓳ"
"so","ꓖꓳꓽ ꓡꓱ ꓠꓬꓲ꓾"
"subdue the earth","ꓟꓲ ꓠꓯ ꓕꓱ ꓟ ꓔꓯ ꓙꓵ: ꓝꓲ"
"the water is good","ꓬꓲ ꓙꓬ ꓕꓱ ꓟ ꓠꓬ ꓙꓲˍ ꓡꓳ"," usage: (the)(objects, foods, subject)"
"the birds in the sky","ꓟꓵ: ꓪꓴ ꓗꓪ ꓟ ꓠꓬ, ꓤ"
"the darkness he called “night.”","ꓠꓯ ꓞꓲ, ꓟ ꓔꓯ ꓠꓬ ꓬꓲ ꓡꓰ꓾ ꓢ ꓘꓪ꓾ ꓐꓰ ꓟꓬꓱ ꓖꓶˍ ꓡꓳ="
"the earth brought forth grass","ꓟꓲ ꓠꓯ ꓗꓪ ꓟꓳ; ꓤ ꓫꓵ. ꓤˍ ꓣꓱ ꓡˍ ꓡꓳ"
"the first day","ꓬꓲ ꓪꓴ. ꓕꓲ ꓠꓬꓲ ꓥ ꓡꓳ="
"the fish from the sea","ꓬꓲ ꓡꓴ ꓐꓱ ꓗꓪ ꓟ ꓥꓪ."
"the fruit tree","ꓢꓶ, ꓢꓶ ꓓꓱ;ˍ ꓟ ꓢꓲ, ꓜꓲ"
"the gathered waters","ꓕꓲ ꓪꓺ; ꓐꓰ ꓜꓲ; ꓞˍ ꓟ ꓬꓲ ꓙꓬ"
"the herb yielding seed,","ꓬꓲ ꓫꓵ. ꓓꓱ;ˍ ꓟ ꓪꓳ: ꓫꓵ ꓪꓳ ꓙꓰ:ˍ ꓐꓰ꓾"
"the second day","ꓠꓬꓲ: ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"the sky","ꓟꓴ ꓗꓪ"
"the third day","ꓢ ꓠꓬꓲ ꓕꓲ ꓠꓬꓲ"
"them","ꓬꓲ. ꓪ"
"then","ꓖꓳ ꓡꓱ ꓗ ꓠꓯꓸꓼ"
"there was light","ꓠꓬꓲ ꓟꓳ ꓓꓴ ꓙꓳ ꓡˍ ꓡꓳ"
"there","ꓖꓳ ꓗꓪ"
"therefore","ꓖꓳꓽ ꓟ ꓑꓶ. ꓓꓴ"
"they may rule over (subject)","(subject) ꓕꓯ ꓢꓲ ꓗꓪ ꓬꓲ ꓪ ꓔꓯ ꓙꓵ: ꓪ ꓙꓳ ꓝꓲ"
"they","ꓬꓲ. ꓪ"
"third day","ꓢ ꓠꓬꓲ"
"three days","ꓢ ꓠꓬꓲ"
"three","ꓢ"
"to (verb)","(verb) ꓠ, ꓟ"
"to divide the day from the night","ꓟꓳ; ꓡꓳˍ ꓐꓰ ꓢ ꓘꓪ ꓔꓯ ꓐꓱꓻ ꓠ, ꓟ"
"to divide","ꓐꓱꓻ ꓠ, ꓟ"
"today is the (day)","ꓠꓬꓲꓸ ꓠꓬꓲ ꓠꓬ (day) ꓥ ꓡꓳ"
"today","ꓠꓬꓲꓸ ꓠꓬꓲ"
"tree","ꓢꓲ, ꓜꓲ"
"under","ꓠꓯ. ꓘꓪ"
"very (adjective)","ꓮ ꓘꓶ (adjective)"
"very good","ꓮ ꓘꓶ ꓙꓲˍ"
"very","ꓮ ꓘꓶ"
"water","ꓬꓲ ꓙꓬ"
"we","ꓣꓳ"
"what happened","ꓮ ꓡꓰ ꓔ"
"what is (object)","(object) ꓠꓬ ꓮ ꓡꓰ ꓪ?"
"where","ꓮ ꓡꓰ ꓗꓪ"
"wild animal","ꓡꓲ ꓛꓲ ꓗꓪ ꓟ ꓙꓱꓽ ꓤ"
"wonderful","ꓮ ꓘꓶ ꓙꓲˍ ꓟ"
"work","ꓟꓬꓱ:"
"working","ꓟꓬꓱ:"
"wow!","ꓮ ꓘꓶ!"
"year","ꓘꓳ;"
"years","ꓘꓳ;"
"yielding fruit","ꓢꓶ, ꓢꓶ ꓓꓱ;ˍ ꓟ"
"you are (an indefinite article)(noun).","ꓠꓴ ꓠꓬ (noun) (an indefinite article) ꓥ ꓡꓳ꓿"
"you are","ꓠꓴ ꓠꓬ"
"you","ꓠꓴ"
"zero","ꓬꓲ ꓖꓳ:"
"Jehovah","ꓬꓰ-ꓧꓳ-ꓧꓪ"
"herb","ꓪꓳ: ꓫꓵ ꓪꓳ ꓙꓰˍ"
"no shrub had yet appeared on the earth","ꓡꓲ ꓛꓲ ꓗꓪ ꓟ ꓢꓲ, ꓜꓲ ꓟꓻ ꓜꓲ ꓠꓬ ꓟꓲ ꓠꓯ ꓗꓪ ꓟ: ꓙꓳ ꓢꓰ꓾"
"plants","ꓢꓲ, ꓜꓲ ꓟꓻ ꓜꓲ"
"no herb had yet sprung up","ꓪꓳ: ꓫꓵ ꓪꓳ ꓙꓰˍ ꓟꓲ ꓟ: ꓣꓱ ꓡ ꓢꓰ:"
"sprung up","ꓣꓱ ꓡ"
"had yet appeared","ꓟ: ꓙꓳ ꓢꓰ:"
"God had not caused it to rain upon the earth","ꓪꓴ-ꓢ ꓡꓰ ꓟꓲ ꓠꓯ ꓕꓯ ꓢꓲ ꓗꓪ ꓟꓶ: ꓦ ꓟ: ꓦ ꓡ ꓝꓲ ꓢꓰ"
"rain","ꓟꓶ: ꓦ"
"had not caused it to rain","ꓟꓶ: ꓦ ꓟ: ꓦ ꓡ ꓝꓲ ꓢꓰ"
"caused","ꓡ ꓝꓲ"
"(noun / pronoun / person) had (adverb of negation) caused it to (noun-1) upon the (noun-2)","(noun / pronoun / person) ꓡꓰ (noun-2) ꓕꓯ ꓢꓲ ꓗꓪ (noun-1) (adverb of negation) ꓡ ꓝꓲ ꓢꓰ"
"It hasn't rained yet","ꓟꓶ: ꓦ ꓟ: ꓦ ꓡ ꓢꓰ"
"there was no one to work the ground","ꓟꓲ ꓠꓯ ꓗꓪ ꓟꓬꓱ: ꓬꓰ ꓜ: ꓢꓴ ꓞꓳ ꓤˍ ꓟꓲ ꓟ: ꓙꓳ ꓢꓰ"
"there was no one to work","ꓟꓬꓱ: ꓬꓰ ꓢꓴ ꓞꓳ ꓤˍ ꓟꓲ ꓟ: ꓙꓳ"
"no one","ꓞꓳ ꓤˍ ꓟ: ꓙꓳ"
"but","ꓖꓳ ꓡꓱ ꓥˍ ꓟꓲ꓾"
"mist","ꓟꓴ ꓗꓴ."
"there went up a mist from the earth,","ꓟꓴ ꓗꓴ. ꓠꓬ ꓟꓲ ꓠꓯ ꓗꓪ ꓐꓰ ꓓꓯ ꓙꓰ ꓢꓲ꓾"
"surface","ꓘꓳ, ꓛꓱ,"
"surface of the ground","ꓟꓲ ꓠꓯ ꓘꓳ, ꓛꓱ,"
"ground surface","ꓟꓲ ꓠꓯ ꓘꓳ, ꓛꓱ,"
"ground's surface","ꓟꓲ ꓠꓯ ꓘꓳ, ꓛꓱ,"
"God formed a man from the dust of the ground","ꓪꓴ-ꓢ ꓠꓬ ꓟꓲ ꓠꓯ ꓗꓪ ꓟ ꓠꓱ ꓦꓱ: ꓡꓰ ꓞꓳ ꓤ ꓚꓰ; ꓡꓳ"
"dust of the ground","ꓟꓲ ꓠꓯ ꓗꓪ ꓟ ꓠꓱ ꓦꓱ:"
"soil","ꓠꓱ ꓦꓱ:"
"God formed soil","ꓪꓴ-ꓢ ꓠꓬ ꓠꓱ ꓦꓱ: ꓔꓯ ꓚꓰ;ˍ ꓡꓳ"
"from the dust of the ground","ꓟꓲ ꓠꓯ ꓗꓪ ꓟ ꓠꓱ ꓦꓱ: ꓡꓰ"
"shell","ꓘꓳ, ꓛꓱ,"
"cover","ꓘꓳ, ꓛꓱ, "plastic cover"
"nostrils","ꓠꓺ ꓘꓴꓻ"
"nose","ꓠꓺ ꓘꓴꓻ"
"nasal","ꓠꓺ ꓘꓴꓻ"
"and breathed into his nostrils the breath of life; and man became a living soul.","ꓬꓲ ꓠꓺ ꓘꓴꓻ ꓗꓪ ꓢꓯ; ꓟꓬ ꓬꓲ ꓢꓯ; ꓦ ꓧꓳ: ꓖꓶˍ ꓡꓳ= ꓖꓳ ꓡꓱ ꓢꓲ ꓞꓳ ꓤ ꓠꓬ ꓢꓯ. ꓔꓬˍ ꓟ ꓕꓲ ꓣꓳ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"breathed into his nostrils the breath of life","ꓬꓲ ꓠꓺ ꓘꓴꓻ ꓗꓪ ꓢꓯ; ꓟꓬ ꓬꓲ ꓢꓯ; ꓦ ꓧꓳ: ꓖꓶˍ ꓡꓳ"
"and man became a living soul.","ꓖꓳ ꓡꓱ ꓢꓲ ꓞꓳ ꓤ ꓠꓬ ꓢꓯ. ꓔꓬˍ ꓟ ꓕꓲ ꓣꓳ ꓒꓬꓱ; ꓡˍ ꓡꓳ="
"a living soul","ꓢꓯ. ꓔꓬˍ ꓟ ꓕꓲ ꓣꓳ"
"living","ꓢꓯ. ꓔꓬ, "usage: living souls"
"became","ꓒꓬꓱ; ꓡ"
"the man whom he had formed","ꓬꓲ ꓡꓰ ꓚꓰ; ꓔˍ ꓟ ꓞꓳ ꓤ"
"Eden","ꓬꓲ-ꓓꓰ"
"You are free to eat from any tree in the garden","ꓐꓱ ꓠꓯꓸꓼ ꓗꓪ ꓟ ꓢꓲ, ꓜꓲ ꓡꓳ ꓜꓲ ꓗꓪ ꓓꓱ;ˍ ꓟ ꓢꓶ, ꓢꓶ ꓮ ꓙꓵ ꓠꓬ꓾ ꓮ ꓡꓲ ꓠꓲ, ꓫꓵˍ ꓠꓬ ꓮ ꓡꓲ ꓧ; ꓜ: ꓛꓵˍ ꓡꓳ"
